SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
44	1104	1262	1196
45	1104	1942	1848
46	1104	7148	6810
47	1104	3619	3419
48	1104	950	912
49	1104	17123	16312
50	1104	11072	10592
51	1104	11916	11425
52	1104	7689	7370
53	1104	3098	2946
54	1104	940	890
55	1104	935	900
56	1104	3427	3265
57	1104	3074	2969
58	1104	379	364
59	1104	1556	1493
60	1104	2278	2162
61	1104	35951	34412
62	1104	16158	15370
63	1104	7546	7197
64	1104	3072	2936
65	1104	3301	3132
66	1104	3028	2903
67	1104	2126	2020
68	1104	2677	2531
69	1104	3508	3367
70	1104	68	63
71	1104	53	48
72	1104	16	14
0	2101	98479	84726
1	2101	2135	2061
2	2101	833	808
3	2101	1495	1441
4	2101	1880	1803
5	2101	3147	3022
6	2101	4911	4727
7	2101	1556	1484
8	2101	742	715
9	2101	1481	1433
10	2101	3449	3330
11	2101	9226	8834
12	2101	245	232
13	2101	32084	30855
14	2101	14921	14443
15	2101	1722	1650
16	2101	1829	1754
17	2101	1946	1872
18	2101	1896	1804
19	2101	937	898
20	2101	2018	1945
21	2101	2005	1925
22	2101	596	575
23	2101	737	706
24	2101	1826	1736
25	2101	20159	19357
26	2101	7702	7342
27	2101	2634	2536
28	2101	1994	1920
29	2101	2078	2000
30	2101	2238	2142
31	2101	370	352
32	2101	1989	1903
33	2101	964	911
34	2101	4	4
35	2101	11	11
36	2101	2	2
37	2101	9794	9437
38	2101	9295	8840
39	2101	2206	2132
40	2101	3484	3358
41	2101	6148	5918
42	2101	2861	2756
43	2101	1463	1408
44	2101	1225	1182
45	2101	1845	1793
46	2101	7127	6811
47	2101	3355	3235
48	2101	844	811
49	2101	16554	15877
50	2101	10726	10283
51	2101	11414	11011
52	2101	7326	6978
53	2101	2967	2860
54	2101	900	865
55	2101	959	915
56	2101	3258	3131
57	2101	2998	2881
58	2101	393	375
59	2101	1535	1490
60	2101	2163	2084
61	2101	35048	33717
62	2101	15920	15286
63	2101	7076	6776
64	2101	3000	2872
65	2101	3113	2967
66	2101	2975	2867
67	2101	2109	2025
68	2101	2557	2448
69	2101	3311	3175
70	2101	43	41
71	2101	55	52
72	2101	7	7
0	2102	100416	84608
1	2102	2178	2078
2	2102	885	835
3	2102	1513	1432
4	2102	1853	1764
5	2102	3186	3031
6	2102	4975	4777
7	2102	1588	1504
8	2102	743	704
9	2102	1544	1457
10	2102	3375	3227
11	2102	9522	9053
12	2102	257	245
13	2102	32263	30592
14	2102	14937	14348
15	2102	1747	1668
16	2102	1748	1670
17	2102	1864	1764
18	2102	1872	1784
19	2102	914	878
20	2102	1965	1883
21	2102	2046	1956
22	2102	587	561
23	2102	824	780
24	2102	1857	1753
25	2102	20080	19087
26	2102	7740	7359
27	2102	2679	2530
28	2102	1929	1846
29	2102	2052	1964
30	2102	2374	2247
31	2102	359	343
32	2102	2017	1922
33	2102	933	883
34	2102	3	3
35	2102	14	14
36	2102	3	3
37	2102	9669	9235
38	2102	9264	8768
39	2102	2226	2136
40	2102	3490	3319
41	2102	6269	5985
42	2102	2887	2763
43	2102	1538	1490
44	2102	1257	1182
45	2102	1822	1733
46	2102	6930	6591
47	2102	3428	3236
48	2102	812	777
49	2102	16450	15594
50	2102	10866	10328
51	2102	11574	11089
52	2102	7454	7099
53	2102	3084	2928
54	2102	958	916
55	2102	959	924
56	2102	3216	3063
57	2102	2975	2847
58	2102	423	393
59	2102	1486	1437
60	2102	2226	2114
61	2102	35178	33647
62	2102	15719	14940
63	2102	7213	6875
64	2102	2991	2839
65	2102	3260	3098
66	2102	2911	2794
67	2102	2154	2046
68	2102	2555	2432
69	2102	3318	3154
70	2102	63	58
71	2102	50	48
72	2102	15	14
0	2103	100212	84504
1	2103	2148	2060
2	2103	852	806
3	2103	1510	1437
4	2103	1827	1721
5	2103	3293	3154
6	2103	4981	4775
7	2103	1623	1556
8	2103	724	684
9	2103	1576	1490
10	2103	3469	3306
11	2103	9403	8937
12	2103	240	230
13	2103	32235	30531
14	2103	14888	14341
15	2103	1687	1605
16	2103	1854	1766
17	2103	1986	1879
18	2103	1944	1842
19	2103	950	908
20	2103	2008	1918
21	2103	2229	2103
22	2103	573	553
23	2103	780	738
24	2103	1864	1781
25	2103	20342	19309
26	2103	7921	7544
27	2103	2648	2530
28	2103	1994	1917
29	2103	2072	1972
30	2103	2424	2292
31	2103	446	429
32	2103	2006	1915
33	2103	936	881
34	2103	3	2
35	2103	7	7
36	2103	2	0
37	2103	9801	9317
38	2103	9111	8597
39	2103	2183	2091
40	2103	3333	3188
41	2103	6165	5899
42	2103	2933	2814
43	2103	1547	1459
44	2103	1200	1131
45	2103	1835	1741
46	2103	7160	6849
47	2103	3586	3360
48	2103	866	821
49	2103	16768	15834
50	2103	10968	10386
51	2103	11361	10862
52	2103	7650	7253
53	2103	3120	2960
54	2103	909	869
55	2103	975	930
56	2103	3338	3172
57	2103	2930	2794
58	2103	415	391
59	2103	1511	1429
60	2103	2250	2134
61	2103	35314	33593
62	2103	16083	15237
63	2103	7352	6987
64	2103	2966	2800
65	2103	3205	3029
66	2103	2865	2748
67	2103	2046	1937
68	2103	2735	2615
69	2103	3402	3241
70	2103	59	57
71	2103	52	49
72	2103	10	8
0	2104	101376	86326
1	2104	2159	2067
2	2104	828	792
3	2104	1517	1449
4	2104	1879	1783
5	2104	3294	3151
6	2104	5021	4827
7	2104	1577	1506
8	2104	746	708
9	2104	1539	1455
10	2104	3454	3305
11	2104	9414	8987
12	2104	274	264
13	2104	32595	31014
14	2104	14973	14456
15	2104	1737	1659
16	2104	1740	1674
17	2104	1973	1883
18	2104	1861	1776
19	2104	964	923
20	2104	1873	1782
21	2104	2116	2020
22	2104	600	572
23	2104	761	726
24	2104	1868	1779
25	2104	20151	19214
26	2104	7671	7334
27	2104	2557	2443
28	2104	2050	1964
29	2104	2049	1968
30	2104	2329	2212
31	2104	378	360
32	2104	1931	1830
33	2104	919	871
34	2104	7	7
35	2104	11	10
36	2104	1	1
37	2104	9749	9350
38	2104	9181	8698
39	2104	2189	2092
40	2104	3564	3395
41	2104	6283	6058
42	2104	3006	2896
43	2104	1565	1491
44	2104	1202	1147
45	2104	1795	1712
46	2104	7054	6745
47	2104	3461	3283
48	2104	871	830
49	2104	16441	15625
50	2104	11000	10512
51	2104	11391	10900
52	2104	7708	7348
53	2104	3035	2891
54	2104	906	871
55	2104	934	888
56	2104	3288	3151
57	2104	2925	2804
58	2104	399	384
59	2104	1553	1498
60	2104	2262	2161
61	2104	35226	33783
62	2104	16023	15274
63	2104	7286	6976
64	2104	2970	2825
65	2104	3283	3118
66	2104	2940	2839
67	2104	2096	1998
68	2104	2578	2467
69	2104	3369	3236
70	2104	70	67
71	2104	54	52
72	2104	20	18
